"","name","projection","position","salary","team"
"1","Devonta Freeman",28.71030039,"RB",8700,"ATL"
"2","Antonio Brown",24.17393646,"WR",9300,"PIT"
"3","Matt Cassel",22.56026997,"QB",6200,"DAL"
"4","Austin Seferian-Jenkins",20.64097739,"TE",5500,"TAM"
"5","Brandon Marshall",20.50167186,"WR",8200,"NYJ"
"6","Danny Woodhead",18.20665342,"RB",5400,"SDG"
"7","Sammy Watkins",18.0056415,"WR",7200,"BUF"
"8","Brandon McManus",17.50341894,"K",5000,"DEN"
"9","OAK Defense",9.484739842,"DEF",4300,"OAK"
