Total_RK,TEAM,Total_YDS,Total_YDS/G,Total_PASS,Total_P YDS/G,Total_RUSH,Total_R YDS/G,Total_PTS,Total_PTS/G,SEASON,Passing_RK,Passing_ATT,Passing_COMP,Passing_PCT,Passing_YDS,Passing_YDS/A,Passing_LONG,Passing_TD,Passing_INT,Passing_SACK,Passing_YDSL,Passing_RATE,Passing_YDS/G,Rushing_RK,Rushing_ATT,Rushing_YDS,Rushing_YDS/A,Rushing_LONG,Rushing_TD,Rushing_YDS/G,Rushing_FUM,Rushing_FUML,Receiving_RK,Receiving_REC,Receiving_YDS,Receiving_AVG,Receiving_LONG,Receiving_TD,Receiving_YDS/G,Receiving_FUM,Receiving_FUML,Returning_RK,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_FC
8,ATL,6051,378.2,4553,284.6,1498,93.6,381,23.8,2014,5,632,418,66.1,4553,7.5,79,28,15,31,205,93.4,285,24,372,1498,4,55,11,93.6,4,2,5,418,4758,11.4,79,28,297.4,7,4,5,50,1174,23.5,66,0,18,239,13.3,68,1,11
9,SEA,6012,375.8,3250,203.1,2762,172.6,394,24.6,2014,27,454,287,63.2,3250,7.7,80,20,7,42,242,95.1,203,1,525,2762,5.3,79,20,172.6,9,2,26,287,3492,12.2,80,20,218.3,3,2,17,39,820,21,47,0,36,252,7,38,0,28
10,NYG,5875,367.2,4272,267,1603,100.2,380,23.8,2014,7,607,383,63.1,4272,7.4,80,30,14,30,198,92.2,267,23,449,1603,3.6,50,13,100.2,1,0,7,383,4470,11.7,80,30,279.4,6,6,15,44,1025,23.3,45,0,29,224,7.7,25,0,27
11,NWE,5848,365.5,4121,257.6,1727,107.9,468,29.3,2014,9,609,392,64.4,4121,7,69,34,9,26,170,97.5,258,18,438,1727,3.9,43,13,107.9,1,0,11,392,4291,10.9,69,34,268.2,4,1,26,31,693,22.4,81,0,41,431,10.5,84,1,11
12,BAL,5838,364.9,3819,238.7,2019,126.2,409,25.6,2014,13,554,344,62.1,3819,7.2,80,27,12,19,167,91,239,8,448,2019,4.5,52,16,126.2,6,2,17,344,3986,11.6,80,27,249.1,3,3,11,38,1077,28.3,108,1,32,292,9.1,45,0,23
13,WAS,5738,358.6,4047,252.9,1691,105.7,301,18.8,2014,11,547,364,66.5,4047,8.2,81,18,18,58,414,88.8,253,19,401,1691,4.2,30,15,105.7,9,2,8,364,4461,12.3,81,18,278.8,6,5,23,36,783,21.8,45,0,29,208,7.2,37,0,27
14,MIA,5601,350.1,3729,233.1,1872,117,388,24.3,2014,17,595,394,66.2,3729,6.8,50,27,12,46,337,92.5,233,12,399,1872,4.7,97,12,117,8,4,13,394,4066,10.3,50,27,254.1,7,2,10,41,1082,26.4,74,0,25,204,8.2,32,0,19
15,CIN,5568,348,3421,213.8,2147,134.2,365,22.8,2014,21,503,323,64.2,3421,7.1,81,20,17,23,130,84.2,214,6,492,2147,4.4,89,19,134.2,8,3,25,323,3551,11,81,20,221.9,7,3,4,45,1241,27.6,97,0,40,436,10.9,49,0,15
16,CAR,5547,346.7,3511,219.4,2036,127.3,339,21.2,2014,19,545,327,60,3511,7,51,23,12,42,317,86.2,219,7,473,2036,4.3,69,10,127.3,9,4,19,327,3828,11.7,51,23,239.3,3,1,19,37,805,21.8,49,0,30,239,8,79,1,26
17,HOU,5513,344.6,3352,209.5,2161,135.1,372,23.3,2014,24,485,295,60.8,3352,7.1,76,22,13,26,108,86.4,210,5,551,2161,3.9,51,12,135.1,6,3,27,295,3460,11.7,76,22,216.3,6,4,31,20,422,21.1,41,0,34,208,6.1,21,0,28
