"","name","position","team","pts.per.sal.avg","pts.per.sal.sd","tier"
"76","Lamar Miller","RB","MIA",0.00200437776269089,0.00165507162061866,"secondary"
"77","Robbie Gould","K","CHI",0.00199595866154608,0.00109016420595951,"secondary"
"78","Justin Tucker","K","BAL",0.00197975001189287,0.00105403310738617,"secondary"
"79","Chandler Catanzaro","K","ARI",0.00197927604310583,0.000744696647910406,"secondary"
"80","Todd Gurley","RB","STL",0.00197477452187574,0.00122873243423247,"secondary"
"81","LeSean McCoy","RB","BUF",0.00196338606779153,0.00060021267432821,"secondary"
"82","STL Defense","DEF","STL",0.0019627417507674,0.00156431736114161,"secondary"
"83","Adrian Peterson","RB","MIN",0.00195607023005939,0.000980086733577589,"secondary"
"84","Arian Foster","RB","HOU",0.00195499670514831,0.00115932623248815,"secondary"
"85","John Brown","WR","ARI",0.00194988814947476,0.000979799032078282,"secondary"
"86","Odell Beckham Jr.","WR","NYG",0.00194576105292177,0.0010343561300363,"secondary"
"87","James Jones","WR","GNB",0.001944871201113,0.00164503724460154,"secondary"
"88","Rob Gronkowski","TE","NWE",0.00193722933184351,0.000952177612717078,"secondary"
"89","Lance Dunbar","RB","DAL",0.00193605442176871,0.00096433256433958,"secondary"
"90","Mark Sanchez","QB","PHI",0.00193332937584803,0.000823228605551696,"secondary"
"91","Will Tye","TE","NYG",0.00192292661745549,0.000282167230529934,"secondary"
"92","Teddy Bridgewater","QB","MIN",0.00191745505531772,0.00078446703133505,"secondary"
"93","Blair Walsh","K","MIN",0.00191580323997398,0.00108295087435812,"secondary"
"94","ARI Defense","DEF","ARI",0.00191003473663844,0.0017123970593841,"secondary"
"95","Brandon McManus","K","DEN",0.00190281385281385,0.00104029429619989,"secondary"
"96","Sam Bradford","QB","PHI",0.00190126437315153,0.000755900831232762,"secondary"
"97","Jason Myers","K","JAC",0.00188242274736262,0.0010014052282681,"secondary"
"98","Sammy Watkins","WR","BUF",0.00188024952639052,0.00175155439053212,"secondary"
"99","Nate Washington","WR","HOU",0.0018761588663131,0.0018332421835512,"secondary"
"100","Mark Ingram","RB","NOR",0.00187301542505911,0.000527145234011891,"secondary"
"101","Ryan Mathews","RB","PHI",0.00186573890641687,0.00133705248150509,"secondary"
"102","Jeremy Maclin","WR","KAN",0.00186271668333779,0.00135488711347711,"secondary"
"103","Dustin Hopkins","K","WAS",0.00186065143157342,0.00100985316905787,"secondary"
"104","Le'Veon Bell","RB","PIT",0.00185637035145462,0.000836303224056767,"secondary"
"105","Theo Riddick","RB","DET",0.0018546809593529,0.000770950857525382,"secondary"
"106","Steve Johnson","WR","SDG",0.0018488397050484,0.00108108591046558,"tertiary"
"107","Crockett Gillmore","TE","BAL",0.00181990553259729,0.00142468845661692,"tertiary"
"108","WAS Defense","DEF","WAS",0.00181944075192928,0.000785760815757251,"tertiary"
"109","Ben Watson","TE","NOR",0.00181889874030183,0.00154502013733406,"tertiary"
"110","Antonio Gates","TE","SDG",0.00181119914578434,0.00122049569178298,"tertiary"
"111","Travis Kelce","TE","KAN",0.00179735140816911,0.00101453480374419,"tertiary"
"112","PHI Defense","DEF","PHI",0.00179482186400936,0.00149933723669959,"tertiary"
"113","Josh Lambo","K","SDG",0.00179059793120848,0.000702957283883833,"tertiary"
"114","Brandin Cooks","WR","NOR",0.00178759541663262,0.00105875603387714,"tertiary"
"115","Steven Hauschka","K","SEA",0.00178502673796791,0.000780157257349773,"tertiary"
"116","CIN Defense","DEF","CIN",0.00178351203991815,0.000869819604801447,"tertiary"
"117","Willie Snead","WR","NOR",0.0017783191129261,0.0012337549813948,"tertiary"
"118","Rishard Matthews","WR","MIA",0.00177798325103734,0.00135320009352568,"tertiary"
"119","Mason Crosby","K","GNB",0.00177738437734862,0.001124939596006,"tertiary"
"120","MIN Defense","DEF","MIN",0.00176798481793368,0.00096769747545174,"tertiary"
"121","Calvin Johnson","WR","DET",0.00176679379606529,0.000986652939511513,"tertiary"
"122","Dan Bailey","K","DAL",0.00176227398873097,0.00058024904396771,"tertiary"
"123","Cecil Shorts","WR","HOU",0.00175882570303561,0.000744813441646362,"tertiary"
"124","Caleb Sturgis","K","PHI",0.00175566226490596,0.000932123461870013,"tertiary"
"125","Amari Cooper","WR","OAK",0.00175361563037594,0.000934547369004288,"tertiary"
"126","Nick Folk","K","NYJ",0.00175300647548566,0.000811210273233904,"tertiary"
"127","Donte Moncrief","WR","IND",0.00175068493126626,0.00109515746997314,"tertiary"
"128","A.J. Green","WR","CIN",0.00175034140109629,0.00126649857069824,"tertiary"
"129","Sebastian Janikowski","K","OAK",0.00173517669759575,0.000970149789524228,"tertiary"
"130","PIT Defense","DEF","PIT",0.00173325719076707,0.00116804741151541,"tertiary"
"131","Thomas Rawls","RB","SEA",0.00173123730462811,0.00231406879969172,"tertiary"
"132","Colin Kaepernick","QB","SFO",0.00172823355351072,0.0011570661098054,"tertiary"
"133","E.J. Manuel","QB","BUF",0.00172515151515152,0.00205097293761211,"tertiary"
"134","DeAngelo Williams","RB","PIT",0.00172433268817593,0.00190641823428088,"tertiary"
"135","Giovani Bernard","RB","CIN",0.00172177664570977,0.000590983845953554,"tertiary"
"136","Danny Amendola","WR","NWE",0.0017209581135335,0.0012203448491676,"tertiary"
"137","Marvin Jones","WR","CIN",0.00171111959192577,0.00119471682123994,"tertiary"
"138","LeGarrette Blount","RB","NWE",0.00170616488510877,0.00158507644726093,"tertiary"
"139","DeMarco Murray","RB","PHI",0.00170413768122422,0.000993354523289038,"tertiary"
"140","NWE Defense","DEF","NWE",0.00170056311840674,0.000928943097021002,"tertiary"
"141","IND Defense","DEF","IND",0.00169133448693476,0.00103624946204612,"tertiary"
"142","Michael Floyd","WR","ARI",0.00169089344243212,0.00166131335982179,"tertiary"
"143","Joseph Randle","RB","DAL",0.00168720228254717,0.00146902286692181,"tertiary"
"144","Jonathan Stewart","RB","CAR",0.00167893648628217,0.000839925059941556,"tertiary"
"145","T.J. Yeldon","RB","JAC",0.00167892316017316,0.000583742222066459,"tertiary"
"146","Mike Nugent","K","CIN",0.00167765186555658,0.000608202858764979,"tertiary"
"147","T.Y. Hilton","WR","IND",0.00167218536269816,0.00112555969888858,"tertiary"
"148","Darren McFadden","RB","DAL",0.00166764623955466,0.000976089170034572,"tertiary"
"149","Matt Forte","RB","CHI",0.00166676812087674,0.000756843840184992,"tertiary"
"150","Julius Thomas","TE","JAC",0.00164805956248005,0.00158984311608327,"tertiary"
"151","Latavius Murray","RB","OAK",0.00164290959029614,0.000667004427108631,"tertiary"
"152","James Starks","RB","GNB",0.00163871097990606,0.00137174484501475,"tertiary"
"153","Jeremy Langford","RB","CHI",0.00163575493452384,0.00169306730426945,"tertiary"
"154","HOU Defense","DEF","HOU",0.0016223608768793,0.00150689628458364,"tertiary"
"155","Jacob Tamme","TE","ATL",0.00162225095879379,0.00128149978588755,"tertiary"
"156","Anquan Boldin","WR","SFO",0.00161791741141805,0.00102570758396096,"tertiary"
"157","Adam Vinatieri","K","IND",0.00161744595323623,0.00122713054465484,"tertiary"
"158","Matt Cassel","QB","DAL",0.00161585146782727,0.00129008754566374,"tertiary"
