"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"80",2015,12,"Charles Sims","RB","TAM","AWAY","IND",5.4,5400
"81",2015,12,"Antonio Andrews","RB","TEN","HOME","OAK",5.1,5700
"82",2015,12,"Frank Gore","RB","IND","HOME","TAM",4.7,6400
"83",2015,12,"Bilal Powell","RB","NYJ","HOME","MIA",4.5,5300
"84",2015,12,"Darren Sproles","RB","PHI","AWAY","DET",4.5,5000
"85",2015,12,"Ahmad Bradshaw","RB","IND","HOME","TAM",4.1,5800
"86",2015,12,"Rashad Jennings","RB","NYG","AWAY","WAS",3.8,5200
"87",2015,12,"Jonathan Grimes","RB","HOU","HOME","NOR",3.8,5200
"88",2015,12,"Terrance West","RB","BAL","AWAY","CLE",3.7,4800
"89",2015,12,"Denard Robinson","RB","JAC","HOME","SDG",3.7,5100
"90",2015,12,"Kenjon Barner","RB","PHI","AWAY","DET",3.6,4700
"91",2015,12,"Todd Gurley","RB","STL","AWAY","CIN",3.5,8800
"92",2015,12,"Matt Asiata","RB","MIN","AWAY","ATL",3.5,4500
"93",2015,12,"Jerick McKinnon","RB","MIN","AWAY","ATL",3.3,4500
"94",2015,12,"Chris Polk","RB","HOU","HOME","NOR",3.2,4900
"95",2015,12,"DeMarco Murray","RB","PHI","AWAY","DET",3,7700
"96",2015,12,"Lamar Miller","RB","MIA","AWAY","NYJ",2.8,7200
"97",2015,12,"Kyle Juszczyk","RB","BAL","AWAY","CLE",2.8,4500
"98",2015,12,"LeGarrette Blount","RB","NWE","AWAY","DEN",2.7,7300
"99",2015,12,"Benny Cunningham","RB","STL","AWAY","CIN",2.2,4600
"100",2015,12,"Chris Thompson","RB","WAS","HOME","NYG",2.1,4900
"101",2015,12,"Fred Jackson","RB","SEA","HOME","PIT",2.1,4900
"102",2015,12,"Damien Williams","RB","MIA","AWAY","NYJ",2,4900
"103",2015,12,"Terron Ward","RB","ATL","HOME","MIN",2,4500
"104",2015,12,"Rex Burkhead","RB","CIN","HOME","STL",1.8,4500
"105",2015,12,"Chris Johnson","RB","ARI","AWAY","SFO",1.7,6800
"106",2015,12,"Robert Turbin","RB","DAL","HOME","CAR",1.7,4900
"107",2015,12,"Jamize Olawale","RB","OAK","AWAY","TEN",1.7,4800
"108",2015,12,"James White","RB","NWE","AWAY","DEN",1.6,5100
"109",2015,12,"C.J. Spiller","RB","NOR","AWAY","HOU",1.6,5400
"110",2015,12,"Mike Tolbert","RB","CAR","AWAY","DAL",1.6,4900
"111",2015,12,"Marcel Reece","RB","OAK","AWAY","TEN",1.2,5000
"112",2015,12,"Rod Smith","RB","DAL","HOME","CAR",1.1,4500
"113",2015,12,"David Cobb","RB","TEN","HOME","OAK",0.8,4900
"114",2015,12,"Anthony Dixon","RB","BUF","AWAY","KAN",0.8,4600
"115",2015,12,"Isaiah Crowell","RB","CLE","HOME","BAL",0.7,5400
"116",2015,12,"Karlos Williams","RB","BUF","AWAY","KAN",0.5,5800
"117",2015,12,"Juwan Thompson","RB","DEN","HOME","NWE",0.3,4900
"118",2015,12,"Roy Helu","RB","OAK","AWAY","TEN",0.3,4900
"119",2015,12,"Orleans Darkwa","RB","NYG","AWAY","WAS",0.2,5000
"120",2015,12,"Donald Brown","RB","SDG","AWAY","JAC",0.2,4500
"121",2015,12,"Stepfan Taylor","RB","ARI","AWAY","SFO",0.2,4500
"122",2015,12,"Stevan Ridley","RB","NYJ","HOME","MIA",0.1,5100
"123",2015,12,"Andre Williams","RB","NYG","AWAY","WAS",0.1,4800
"124",2015,12,"Derrick Coleman","RB","SEA","HOME","PIT",0.1,4500
"125",2015,12,"Knile Davis","RB","KAN","HOME","BUF",0.1,4500
