"Name","Opponent","Position","Salary","Team"
"Chris Boswell","DEN","K",5000,"PIT"
"Gary Barnidge","SEA","TE",6400,"CLE"
"Martavis Bryant","DEN","WR",7100,"PIT"
"Alshon Jeffery","MIN","WR",7900,"CHI"
"Julio Jones","JAX","WR",8600,"ATL"
"Lamar Miller","SDG","RB",6700,"MIA"
"Danny Woodhead","MIA","RB",5300,"SDG"
"Drew Brees","DET","QB",8000,"NOR"
"DEN Defense","PIT","DEF",5000,"DEN"
