"Name","Opponent","Position","Salary","Team"
"Cairo Santos","CLE","K",4700,"KAN"
"Gary Barnidge","KAN","TE",6400,"CLE"
"DeAndre Hopkins","TEN","WR",8500,"HOU"
"Travis Benjamin","KAN","WR",5400,"CLE"
"Martavis Bryant","BAL","WR",7200,"PIT"
"Adrian Peterson","NYG","RB",8200,"MIN"
"Lamar Miller","IND","RB",6500,"MIA"
"Tyrod Taylor","DAL","QB",7700,"BUF"
"KAN Defense","CLE","DEF",5400,"KAN"
