"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6498","QB","Tom","Brady","24.2","13","9500","TEN@NE","NE","TEN","","","",""
"14185","QB","Cam","Newton","23.9","13","9400","CAR@NYG","CAR","NYG","","","",""
"31360","WR","Odell","Beckham Jr.","19","13","9100","CAR@NYG","NYG","CAR","","","",""
"6894","QB","Aaron","Rodgers","20.7","13","9000","GB@OAK","GB","OAK","","","",""
"22015","QB","Russell","Wilson","21.2","13","8800","CLE@SEA","SEA","CLE","","","",""
"11612","WR","Antonio","Brown","18.7","13","8800","DEN@PIT","PIT","DEN","","","",""
"16606","WR","DeAndre","Hopkins","17.6","13","8700","HOU@IND","HOU","IND","","","",""
"14187","WR","A.J.","Green","15.5","13","8700","CIN@SF","CIN","SF","","","",""
"6748","QB","Carson","Palmer","21.5","13","8700","ARI@PHI","ARI","PHI","","","",""
"14190","WR","Julio","Jones","18.2","13","8600","ATL@JAC","ATL","JAC","","","",""
"6703","RB","Adrian","Peterson","16","13","8600","CHI@MIN","MIN","CHI","","","",""
"11460","TE","Rob","Gronkowski","16","12","8500","TEN@NE","NE","TEN","P","Knee","",""
"21939","QB","Andrew","Luck","20.1","7","8400","HOU@IND","IND","HOU","O","Abdomen","",""
"24920","RB","Devonta","Freeman","19.1","12","8400","ATL@JAC","ATL","JAC","","","",""
"28643","WR","Allen","Robinson","16.4","13","8100","ATL@JAC","JAC","ATL","","","",""
"6589","QB","Ben","Roethlisberger","19.2","9","8000","DEN@PIT","PIT","DEN","","","",""
"6655","WR","Calvin","Johnson","13.4","13","8000","DET@NO","DET","NO","Q","Ankle","",""
"6504","QB","Drew","Brees","20.3","12","8000","DET@NO","NO","DET","","","",""
"21980","WR","Alshon","Jeffery","15.5","8","7900","CHI@MIN","CHI","MIN","Q","Calf","",""
"34308","QB","Blake","Bortles","20.9","13","7900","ATL@JAC","JAC","ATL","","","",""
"6899","RB","Matt","Forte","14.6","10","7900","CHI@MIN","CHI","MIN","","","",""
"6779","RB","LeSean","McCoy","14.4","11","7900","BUF@WAS","BUF","WAS","","","",""
"6654","QB","Matthew","Stafford","18.1","13","7800","DET@NO","DET","NO","","","",""
"11432","WR","Demaryius","Thomas","12.7","13","7700","DEN@PIT","DEN","PIT","P","Rest","",""
"14377","QB","Tyrod","Taylor","19.9","11","7500","BUF@WAS","BUF","WAS","","","",""
"6733","RB","Jonathan","Stewart","11.9","13","7500","CAR@NYG","CAR","NYG","O","Foot","",""
"14626","WR","Doug","Baldwin","14","13","7400","CLE@SEA","SEA","CLE","","","",""
"7968","QB","Philip","Rivers","18.4","13","7400","MIA@SD","SD","MIA","","","",""
"29358","QB","Marcus","Mariota","19.6","11","7300","TEN@NE","TEN","NE","","","",""
"6616","QB","Matt","Ryan","15.4","13","7200","ATL@JAC","ATL","JAC","","","",""
"14257","WR","Randall","Cobb","11.6","13","7200","GB@OAK","GB","OAK","","","",""
"45859","QB","Derek","Carr","18.1","13","7200","GB@OAK","OAK","GB","","","",""
"24641","WR","Sammy","Watkins","13.3","10","7200","BUF@WAS","BUF","WAS","","","",""
"6826","QB","Eli","Manning","19.1","13","7200","CAR@NYG","NYG","CAR","","","",""
"6883","WR","Larry","Fitzgerald","15","13","7200","ARI@PHI","ARI","PHI","Q","Ankle","",""
"31394","WR","Jarvis","Landry","14.3","13","7100","MIA@SD","MIA","SD","Q","Knee","",""
"11505","WR","Emmanuel","Sanders","10.8","12","7100","DEN@PIT","DEN","PIT","P","Finger","",""
"24675","WR","Martavis","Bryant","16.2","8","7100","DEN@PIT","PIT","DEN","","","",""
"22038","QB","Kirk","Cousins","16.6","13","7100","BUF@WAS","WAS","BUF","","","",""
"29501","WR","Brandin","Cooks","12.4","13","7000","DET@NO","NO","DET","","","",""
"25760","WR","Allen","Hurns","13.2","12","7000","ATL@JAC","JAC","ATL","Q","Thigh","",""
"8117","WR","Danny","Amendola","9.5","12","7000","TEN@NE","NE","TEN","Q","Knee","",""
"8005","QB","Alex","Smith","17.4","13","7000","KC@BAL","KC","BAL","","","",""
"7872","QB","Brian","Hoyer","16.1","10","7000","HOU@IND","HOU","IND","O","Concussion","",""
"22031","WR","T.Y.","Hilton","12.1","13","7000","HOU@IND","IND","HOU","","","",""
"6732","RB","DeAngelo","Williams","12.8","13","7000","DEN@PIT","PIT","DEN","Q","Illness","",""
"21948","QB","Ryan","Tannehill","16.5","13","6900","MIA@SD","MIA","SD","","","",""
"11485","WR","Golden","Tate","10.1","13","6900","DET@NO","DET","NO","","","",""
"31001","WR","Amari","Cooper","11.1","13","6900","GB@OAK","OAK","GB","Q","Foot","",""
"30968","RB","Eddie","Lacy","9","12","6900","GB@OAK","GB","OAK","","","",""
"6914","TE","Greg","Olsen","12.6","13","6800","CAR@NYG","CAR","NYG","Q","Knee","",""
"21994","QB","Brock","Osweiler","13.3","5","6700","DEN@PIT","DEN","PIT","","","",""
"7283","WR","Jeremy","Maclin","13.1","12","6700","KC@BAL","KC","BAL","","","",""
"9392","WR","Michael","Crabtree","11.9","13","6700","GB@OAK","OAK","GB","","","",""
"6898","QB","Jay","Cutler","16.1","12","6700","CHI@MIN","CHI","MIN","","","",""
"22037","RB","Lamar","Miller","14.1","13","6700","MIA@SD","MIA","SD","Q","Ankle","",""
"29645","RB","Javorius","Allen","7.2","13","6600","KC@BAL","BAL","KC","","","",""
"6627","WR","Ted","Ginn Jr.","10.5","13","6600","CAR@NYG","CAR","NYG","P","Not injury related","",""
"33557","TE","Tyler","Eifert","12.7","12","6500","CIN@SF","CIN","SF","Q","Concussion","",""
"62497","RB","David","Johnson","9.8","13","6500","ARI@PHI","ARI","PHI","","","",""
"22003","RB","Ronnie","Hillman","9.1","13","6400","DEN@PIT","DEN","PIT","P","Foot","",""
"6422","TE","Gary","Barnidge","13.1","13","6400","CLE@SEA","CLE","SEA","","","",""
"14643","RB","DuJuan","Harris","1.5","2","6400","KC@BAL","BAL","KC","","","",""
"28930","RB","James","White","6","11","6400","TEN@NE","NE","TEN","","","",""
"6831","QB","Matt","Hasselbeck","13.9","6","6400","HOU@IND","IND","HOU","Q","Ribs","",""
"6739","WR","DeSean","Jackson","8.5","7","6400","BUF@WAS","WAS","BUF","Q","Knee","",""
"14194","QB","Blaine","Gabbert","17.8","5","6300","CIN@SF","SF","CIN","","","",""
"54606","WR","John","Brown","12.3","12","6300","ARI@PHI","ARI","PHI","","","",""
