Name	Projection	Id	Position	First Name	Last Name	FPPG	Played	Salary	Game	Team	Opponent	Location	Injury Indicator	Injury Details
Drew Brees	19.81169685	6504	QB	Drew	Brees	20	10	7700	CAR@NO	NOR	CAR	NOR		
Matt Ryan	19.01520014	6616	QB	Matt	Ryan	16.4	11	7400	ATL@TB	ATL	TAM	TAM		
DeMarco Murray	18.73910913	14254	RB	DeMarco	Murray	13.2	10	7400	PHI@NE	PHI	NWE	NWE		
Andy Dalton	18.72971626	14225	QB	Andy	Dalton	20.5	11	8000	CIN@CLE	CIN	CLE	CLE		
Adrian Peterson	18.71512868	6703	RB	Adrian	Peterson	17.3	11	9100	SEA@MIN	MIN	SEA	MIN		
Carson Palmer	18.56749984	6748	QB	Carson	Palmer	21.5	11	7900	ARI@STL	ARI	STL	STL		
Danny Woodhead	18.20665342	9421	RB	Danny	Woodhead	12.5	11	5700	DEN@SD	SDG	DEN	SDG		
Sammy Watkins	18.0056415	24641	WR	Sammy	Watkins	12.3	8	7000	HOU@BUF	BUF	HOU	BUF		
Brian Hoyer	17.96506164	7872	QB	Brian	Hoyer	16.5	8	7000	HOU@BUF	HOU	BUF	BUF		
Philip Rivers	17.86366255	7968	QB	Philip	Rivers	20.2	11	7600	DEN@SD	SDG	DEN	SDG	P	Foot
Brandon McManus	17.50341894	26247	K	Brandon	McManus	9.2	11	4800	DEN@SD	DEN	SDG	SDG		
Julio Jones	17.48396849	14190	WR	Julio	Jones	19.2	11	9200	ATL@TB	ATL	TAM	TAM		
Eric Decker	17.41810071	11501	WR	Eric	Decker	14.2	10	7200	NYJ@NYG	NYJ	NYG	NYG	P	Knee
Blaine Gabbert	17.38836118	14194	QB	Blaine	Gabbert	16.7	3	6300	SF@CHI	SFO	CHI	CHI		
Blake Bortles	17.31179037	34308	QB	Blake	Bortles	19.4	11	7400	JAC@TEN	JAX	TEN	TEN		
Alex Smith	17.24002073	8005	QB	Alex	Smith	17.1	11	6600	KC@OAK	KAN	OAK	OAK		
Jay Cutler	17.05565033	6898	QB	Jay	Cutler	16.6	10	7000	SF@CHI	CHI	SFO	CHI	P	Illness
Brandin Cooks	16.7704973	29501	WR	Brandin	Cooks	12.5	11	7100	CAR@NO	NOR	CAR	NOR		
Matt Hasselbeck	16.129606	6831	QB	Matt	Hasselbeck	16.8	4	6500	IND@PIT	IND	PIT	PIT		
Mark Ingram	16.09134454	14211	RB	Mark	Ingram	14.6	11	7200	CAR@NO	NOR	CAR	NOR	P	Shoulder
Blair Walsh	15.98866975	22110	K	Blair	Walsh	9.1	11	4800	SEA@MIN	MIN	SEA	MIN		
Michael Crabtree	15.98014341	9392	WR	Michael	Crabtree	12.5	11	6600	KC@OAK	OAK	KAN	OAK		
Eli Manning	15.60210706	6826	QB	Eli	Manning	18.7	11	7600	NYJ@NYG	NYG	NYJ	NYG		
Travis Kelce	15.47480034	33076	TE	Travis	Kelce	10.9	11	6200	KC@OAK	KAN	OAK	OAK	P	Groin
Willie Snead	14.807578	44449	WR	Willie	Snead	9.6	11	6100	CAR@NO	NOR	CAR	NOR	D	Calf
DeAndre Hopkins	14.58068958	16606	WR	DeAndre	Hopkins	18.6	11	8900	HOU@BUF	HOU	BUF	BUF	P	Hamstring
Crockett Gillmore	14.45972212	45723	TE	Crockett	Gillmore	8.9	9	5600	BAL@MIA	BAL	MIA	MIA		
Jeremy Langford	14.37853853	28202	RB	Jeremy	Langford	9.5	11	6400	SF@CHI	CHI	SFO	CHI		
Jaelen Strong	14.16471917	39373	WR	Jaelen	Strong	3.9	5	4600	HOU@BUF	HOU	BUF	BUF		
Mike Evans	14.06455751	32384	WR	Mike	Evans	11.3	10	7900	ATL@TB	TAM	ATL	TAM		
Jarvis Landry	13.90735045	31394	WR	Jarvis	Landry	15.3	11	7400	BAL@MIA	MIA	BAL	MIA	P	Knee
T.Y. Hilton	13.8466413	22031	WR	T.Y.	Hilton	12.5	11	7300	IND@PIT	IND	PIT	PIT		
Derek Carr	13.75996606	45859	QB	Derek	Carr	18.7	11	7700	KC@OAK	OAK	KAN	OAK		
Alshon Jeffery	13.7278008	21980	WR	Alshon	Jeffery	15.7	6	7700	SF@CHI	CHI	SFO	CHI		
Seth Roberts	13.72031679	54741	WR	Seth	Roberts	6.3	11	5400	KC@OAK	OAK	KAN	OAK		
Larry Fitzgerald	13.67855761	6883	WR	Larry	Fitzgerald	16.2	11	7300	ARI@STL	ARI	STL	STL	P	Ankle
Teddy Bridgewater	13.62597167	33259	QB	Teddy	Bridgewater	12.9	11	6100	SEA@MIN	MIN	SEA	MIN		
Christopher Ivory	13.59149226	11864	RB	Christopher	Ivory	15	10	7100	NYJ@NYG	NYJ	NYG	NYG		
Matt Forte	13.53953011	6899	RB	Matt	Forte	14.1	8	7600	SF@CHI	CHI	SFO	CHI		
LeSean McCoy	13.43638925	6779	RB	LeSean	McCoy	14.9	9	7800	HOU@BUF	BUF	HOU	BUF		
Amari Cooper	13.41130202	31001	WR	Amari	Cooper	12.4	11	7000	KC@OAK	OAK	KAN	OAK		
Allen Robinson	13.38778358	28643	WR	Allen	Robinson	15.3	11	8000	JAC@TEN	JAX	TEN	TEN		
Delanie Walker	13.32305662	6863	TE	Delanie	Walker	12	10	6000	JAC@TEN	TEN	JAX	TEN		
Giovani Bernard	13.30355361	25290	RB	Giovani	Bernard	11.4	11	6200	CIN@CLE	CIN	CLE	CLE		
Doug Baldwin	13.21845454	14626	WR	Doug	Baldwin	11.8	11	6200	SEA@MIN	SEA	MIN	MIN		
Spencer Ware	12.95405333	31459	RB	Spencer	Ware	8.3	6	6500	KC@OAK	KAN	OAK	OAK	P	Hamstring
Martavis Bryant	12.88497332	24675	WR	Martavis	Bryant	16.9	6	6900	IND@PIT	PIT	IND	PIT	P	Hip
Stephen Gostkowski	12.77069412	7900	K	Stephen	Gostkowski	11.5	11	5100	PHI@NE	NWE	PHI	NWE		
Emmanuel Sanders	12.7288658	11505	WR	Emmanuel	Sanders	12.5	10	7300	DEN@SD	DEN	SDG	SDG	P	Ankle
Steven Hauschka	12.61158602	6724	K	Steven	Hauschka	9	11	4900	SEA@MIN	SEA	MIN	MIN		
ARI Defense	12.6113713	12546	DEF	Arizona	Cardinals	9.3	11	5400	ARI@STL	ARI	STL	STL		
T.J. Yeldon	12.33972236	31061	RB	T.J.	Yeldon	11	10	6100	JAC@TEN	JAX	TEN	TEN		
A.J. Green	12.21030637	14187	WR	A.J.	Green	14.3	11	8400	CIN@CLE	CIN	CLE	CLE		
Tavon Austin	12.19131762	26458	WR	Tavon	Austin	11.6	11	6100	ARI@STL	STL	ARI	STL		
John Brown	12.09048284	54606	WR	John	Brown	11.7	10	6000	ARI@STL	ARI	STL	STL	P	Hamstring
Lamar Miller	12.09027316	22037	RB	Lamar	Miller	13.8	11	6700	BAL@MIA	MIA	BAL	MIA		
Travis Benjamin	12.05078337	22035	WR	Travis	Benjamin	12.9	11	5900	CIN@CLE	CLE	CIN	CLE		
Brock Osweiler	12.00745467	21994	QB	Brock	Osweiler	14.4	3	6900	DEN@SD	DEN	SDG	SDG	P	Quadriceps
Stefon Diggs	11.90548853	25079	WR	Stefon	Diggs	11.8	8	6200	SEA@MIN	MIN	SEA	MIN		
Latavius Murray	11.76557128	34331	RB	Latavius	Murray	11.6	11	6400	KC@OAK	OAK	KAN	OAK		
Jordan Matthews	11.75497011	30837	WR	Jordan	Matthews	9.8	11	6200	PHI@NE	PHI	NWE	NWE		
Demaryius Thomas	11.57533522	11432	WR	Demaryius	Thomas	12.5	11	7600	DEN@SD	DEN	SDG	SDG		
Gary Barnidge	11.27768434	6422	TE	Gary	Barnidge	13.2	11	6100	CIN@CLE	CLE	CIN	CLE		
Julius Thomas	11.25295301	14317	TE	Julius	Thomas	8.7	7	5800	JAC@TEN	JAX	TEN	TEN		
Dez Bryant	11.05335365	11435	WR	Dez	Bryant	8.6	6	7200	DAL@WAS	DAL	WAS	WAS	P	Foot
Shane Vereen	11.03637631	14245	RB	Shane	Vereen	8.4	11	5400	NYJ@NYG	NYG	NYJ	NYG		
Nick Foles	11.03541112	22027	QB	Nick	Foles	9.9	10	5900	ARI@STL	STL	ARI	STL		
Sebastian Janikowski	10.92720521	7831	K	Sebastian	Janikowski	8.1	11	4600	KC@OAK	OAK	KAN	OAK		
Josh Brown	10.92400985	6522	K	Josh	Brown	10	11	4900	NYJ@NYG	NYG	NYJ	NYG		
Rashad Jennings	10.89555597	8052	RB	Rashad	Jennings	7.4	11	5100	NYJ@NYG	NYG	NYJ	NYG		
Anquan Boldin	10.80270952	6479	WR	Anquan	Boldin	10	9	6000	SF@CHI	SFO	CHI	CHI	P	Hamstring
David Johnson	10.74703238	62497	RB	David	Johnson	8.5	11	5900	ARI@STL	ARI	STL	STL		
David Johnson	10.74703238	6567	TE	David	Johnson	0	11	4500	DEN@SD	SDG	DEN	SDG		
Jordan Reed	10.73026035	30298	TE	Jordan	Reed	12.6	9	5900	DAL@WAS	WAS	DAL	WAS		
Donte Moncrief	10.6287919	31561	WR	Donte	Moncrief	10.4	11	6400	IND@PIT	IND	PIT	PIT		
Odell Beckham Jr.	10.62321281	31360	WR	Odell	Beckham Jr.	17.3	11	9400	NYJ@NYG	NYG	NYJ	NYG		
DEN Defense	10.5774524	12531	DEF	Denver	Broncos	11.9	11	5300	DEN@SD	DEN	SDG	SDG		
Austin Davis	10.30738648	22848	QB	Austin	Davis	7.8	1	5400	CIN@CLE	CLE	CIN	CLE		
NE Defense	10.13713209	12541	DEF	New England	Patriots	7.9	11	4800	PHI@NE	NWE	PHI	NWE		
Dan Carpenter	10.12222303	6810	K	Dan	Carpenter	7.4	11	4500	HOU@BUF	BUF	HOU	BUF		
Jeremy Maclin	10.0868905	7283	WR	Jeremy	Maclin	12.4	10	6500	KC@OAK	KAN	OAK	OAK		
Darren Fells	10.07183677	38301	TE	Darren	Fells	4.8	9	4800	ARI@STL	ARI	STL	STL		
Dustin Hopkins	10.04076037	24912	K	Dustin	Hopkins	8.5	10	4500	DAL@WAS	WAS	DAL	WAS		
Ladarius Green	10.01000024	22047	TE	Ladarius	Green	8.5	9	5000	DEN@SD	SDG	DEN	SDG	P	Ankle
Matt Schaub	10.00639927	6679	QB	Matt	Schaub	16.3	1	6200	BAL@MIA	BAL	MIA	MIA		
Cecil Shorts	9.986672202	14307	WR	Cecil	Shorts	9.4	8	5800	HOU@BUF	HOU	BUF	BUF		
Danny Amendola	9.952559196	8117	WR	Danny	Amendola	9	10	6700	PHI@NE	NWE	PHI	NWE	Q	Knee
Connor Barth	9.935286459	6427	K	Connor	Barth	10.4	7	4700	ATL@TB	TAM	ATL	TAM		
Graham Gano	9.899462965	10744	K	Graham	Gano	11.3	11	5000	CAR@NO	CAR	NOR	NOR		
Sam Bradford	9.860601221	11414	QB	Sam	Bradford	14.1	9	6400	PHI@NE	PHI	NWE	NWE	P	Shoulder
Benjamin Watson	9.813703539	7870	TE	Benjamin	Watson	9.2	11	5300	CAR@NO	NOR	CAR	NOR		
Antonio Andrews	9.805594113	47828	RB	Antonio	Andrews	8	9	5600	JAC@TEN	TEN	JAX	TEN		
Caleb Sturgis	9.75244418	30261	K	Caleb	Sturgis	7.9	8	4600	PHI@NE	PHI	NWE	NWE		
Thomas Rawls	9.680667397	28095	RB	Thomas	Rawls	9.2	11	7000	SEA@MIN	SEA	MIN	MIN		
Steve Johnson	9.648987113	7645	WR	Steve	Johnson	10	9	6200	DEN@SD	SDG	DEN	SDG		
Antonio Gates	9.621446405	7965	TE	Antonio	Gates	12.9	6	5900	DEN@SD	SDG	DEN	SDG		
OAK Defense	9.484739842	12537	DEF	Oakland	Raiders	5.9	11	4400	KC@OAK	OAK	KAN	OAK		
Justin Tucker	9.469462693	23045	K	Justin	Tucker	9.8	11	4900	BAL@MIA	BAL	MIA	MIA		
NYG Defense	9.394024982	12543	DEF	New York	Giants	8.9	11	4500	NYJ@NYG	NYG	NYJ	NYG		
Jonathan Stewart	9.277194219	6733	RB	Jonathan	Stewart	11.1	11	7200	CAR@NO	CAR	NOR	NOR		
Robbie Gould	9.274975574	6910	K	Robbie	Gould	9.3	11	4600	SF@CHI	CHI	SFO	CHI		
HOU Defense	9.236617661	12556	DEF	Houston	Texans	7.5	11	4900	HOU@BUF	HOU	BUF	BUF		
Michael Floyd	9.220613488	21952	WR	Michael	Floyd	8.9	10	5900	ARI@STL	ARI	STL	STL	Q	Hamstring
Darren McFadden	9.220480184	7806	RB	Darren	McFadden	10.8	11	7300	DAL@WAS	DAL	WAS	WAS		
Terrance Williams	9.203618095	31836	WR	Terrance	Williams	7.6	11	5900	DAL@WAS	DAL	WAS	WAS		
Kendall Wright	9.174159391	21957	WR	Kendall	Wright	8.9	8	5200	JAC@TEN	TEN	JAX	TEN		
Rueben Randle	9.120101968	21999	WR	Rueben	Randle	8.6	11	5800	NYJ@NYG	NYG	NYJ	NYG		
NO Defense	9.101844968	12542	DEF	New Orleans	Saints	4.7	11	4000	CAR@NO	NOR	CAR	NOR		
Marques Colston	8.942321679	6645	WR	Marques	Colston	6.7	10	5100	CAR@NO	NOR	CAR	NOR	P	Not injury related
Jermaine Kearse	8.907494884	22219	WR	Jermaine	Kearse	6.9	11	5600	SEA@MIN	SEA	MIN	MIN		
LeGarrette Blount	8.894074059	11779	RB	LeGarrette	Blount	10.9	10	6900	PHI@NE	NWE	PHI	NWE		
Cairo Santos	8.875452746	33714	K	Cairo	Santos	10.7	11	4800	KC@OAK	KAN	OAK	OAK		
KC Defense	8.863845271	12536	DEF	Kansas City	Chiefs	9.3	11	4700	KC@OAK	KAN	OAK	OAK		
Ted Ginn Jr.	8.862287368	6627	WR	Ted	Ginn Jr.	8.1	11	5800	CAR@NO	CAR	NOR	NOR		
Zach Hocker	8.85770427	31109	K	Zach	Hocker	6	7	4500	ARI@STL	STL	ARI	STL		
Ronnie Hillman	8.760931143	22003	RB	Ronnie	Hillman	9.3	11	6300	DEN@SD	DEN	SDG	SDG	P	Teeth
Greg Zuerlein	8.749893011	22109	K	Greg	Zuerlein	7	10	4500	ARI@STL	STL	ARI	STL	D	Groin
NYJ Defense	8.686928502	12544	DEF	New York	Jets	7.3	11	4600	NYJ@NYG	NYJ	NYG	NYG		
Dan Bailey	8.642014299	14952	K	Dan	Bailey	8.5	11	4600	DAL@WAS	DAL	WAS	WAS		
Brian Hartline	8.609760839	6809	WR	Brian	Hartline	6	10	5100	CIN@CLE	CLE	CIN	CLE		
TB Defense	8.575809195	12551	DEF	Tampa Bay	Buccaneers	8.2	11	4200	ATL@TB	TAM	ATL	TAM		
Brandon LaFell	8.514536586	11495	WR	Brandon	LaFell	7.5	6	6600	PHI@NE	NWE	PHI	NWE		
Brandon Bostick	8.48855709	23055	TE	Brandon	Bostick	0	0	4500	ARI@STL	ARI	STL	STL		
Nick Novak	8.467562967	12090	K	Nick	Novak	5.8	8	4500	HOU@BUF	HOU	BUF	BUF		
SEA Defense	8.448773405	12550	DEF	Seattle	Seahawks	10.5	11	4800	SEA@MIN	SEA	MIN	MIN		
Brandon Bolden	8.438882307	22898	RB	Brandon	Bolden	3.3	10	5400	PHI@NE	NWE	PHI	NWE		
Kai Forbath	8.426825711	15176	K	Kai	Forbath	5.7	6	4600	CAR@NO	NOR	CAR	NOR		
Kamar Aiken	8.424100895	14905	WR	Kamar	Aiken	8.8	11	6100	BAL@MIA	BAL	MIA	MIA		
Duke Johnson	8.422814131	25837	RB	Duke	Johnson	8.8	11	6000	CIN@CLE	CLE	CIN	CLE		
Jason Witten	8.420297856	6641	TE	Jason	Witten	8	11	5600	DAL@WAS	DAL	WAS	WAS		
Jacob Tamme	8.393376345	6664	TE	Jacob	Tamme	8	10	5200	ATL@TB	ATL	TAM	TAM		
CAR Defense	8.328174625	12553	DEF	Carolina	Panthers	11.6	11	4900	CAR@NO	CAR	NOR	NOR		
Jeremy Hill	8.249947804	31397	RB	Jeremy	Hill	9.5	11	6600	CIN@CLE	CIN	CLE	CLE		
Vincent Jackson	8.246171129	7953	WR	Vincent	Jackson	10	8	6300	ATL@TB	TAM	ATL	TAM	P	Knee
Cameron Brate	8.233576743	54782	TE	Cameron	Brate	4.8	9	4900	ATL@TB	TAM	ATL	TAM		
Nate Washington	8.227677321	6610	WR	Nate	Washington	9.4	9	5200	HOU@BUF	HOU	BUF	BUF		
Kyle Rudolph	8.168818879	14237	TE	Kyle	Rudolph	6.9	11	5100	SEA@MIN	MIN	SEA	MIN		
Malcom Floyd	8.131067909	7952	WR	Malcom	Floyd	7.1	10	5400	DEN@SD	SDG	DEN	SDG		
Andre Johnson	8.123569345	6681	WR	Andre	Johnson	5.8	11	5200	IND@PIT	IND	PIT	PIT		
DeVante Parker	8.079708016	33260	WR	DeVante	Parker	2.5	9	5200	BAL@MIA	MIA	BAL	MIA		
Marvin Jones	8.051231761	22103	WR	Marvin	Jones	8.8	11	5200	CIN@CLE	CIN	CLE	CLE		
Phil Dawson	7.965903832	6702	K	Phil	Dawson	6.9	11	4800	SF@CHI	SFO	CHI	CHI		
Melvin Gordon	7.926103308	28900	RB	Melvin	Gordon	6.7	11	5900	DEN@SD	SDG	DEN	SDG		
ATL Defense	7.867469909	12525	DEF	Atlanta	Falcons	6.7	11	4600	ATL@TB	ATL	TAM	TAM		
Mohamed Sanu	7.834950088	22018	WR	Mohamed	Sanu	5	11	5000	CIN@CLE	CIN	CLE	CLE		
Travis Coons	7.768642296	29994	K	Travis	Coons	6.9	11	4600	CIN@CLE	CLE	CIN	CLE		
Josh Lambo	7.748450583	32429	K	Josh	Lambo	8.2	11	4700	DEN@SD	SDG	DEN	SDG		
Dwayne Harris	7.738080813	14358	WR	Dwayne	Harris	7.1	11	5100	NYJ@NYG	NYG	NYJ	NYG		
Jermaine Gresham	7.707426517	11431	TE	Jermaine	Gresham	2.7	11	4500	ARI@STL	ARI	STL	STL		
BUF Defense	7.690607702	12526	DEF	Buffalo	Bills	6.6	11	4500	HOU@BUF	BUF	HOU	BUF		
Charles Clay	7.67844386	14362	TE	Charles	Clay	7.3	11	5100	HOU@BUF	BUF	HOU	BUF		
Chris Boswell	7.589084604	32058	K	Chris	Boswell	9.7	7	4500	IND@PIT	PIT	IND	PIT		
Mike Nugent	7.567135527	6636	K	Mike	Nugent	7.8	11	4900	CIN@CLE	CIN	CLE	CLE		
Tyler Lockett	7.556844181	27050	WR	Tyler	Lockett	7	11	5300	SEA@MIN	SEA	MIN	MIN		
DeAngelo Williams	7.527156584	6732	RB	DeAngelo	Williams	11.5	11	7200	IND@PIT	PIT	IND	PIT		
DeSean Jackson	7.482668512	6739	WR	DeSean	Jackson	7.8	5	6500	DAL@WAS	WAS	DAL	WAS	P	Illness
CIN Defense	7.445430138	12528	DEF	Cincinnati	Bengals	8.5	11	5100	CIN@CLE	CIN	CLE	CLE		
STL Defense	7.441289752	12538	DEF	St Louis	Rams	9	11	4600	ARI@STL	STL	ARI	STL		
TEN Defense	7.389215616	12534	DEF	Tennessee	Titans	6.8	11	4400	JAC@TEN	TEN	JAX	TEN		
Chandler Catanzaro	7.33343437	24569	K	Chandler	Catanzaro	9.5	11	5000	ARI@STL	ARI	STL	STL		
Jason Myers	7.301694658	60745	K	Jason	Myers	8.6	11	4700	JAC@TEN	JAX	TEN	TEN	P	Back
Vance McDonald	7.270217259	32045	TE	Vance	McDonald	4.2	10	4900	SF@CHI	SFO	CHI	CHI		
James White	7.24193212	28930	RB	James	White	3.4	9	5200	PHI@NE	NWE	PHI	NWE		
Pierre Garcon	7.222960302	6774	WR	Pierre	Garcon	8.5	11	5400	DAL@WAS	WAS	DAL	WAS		
Andre Holmes	7.168702356	14761	WR	Andre	Holmes	3.9	11	4900	KC@OAK	OAK	KAN	OAK		
Matt Jones	7.152569399	30244	RB	Matt	Jones	8.5	10	5200	DAL@WAS	WAS	DAL	WAS		
Mike Wallace	7.053800383	6607	WR	Mike	Wallace	4.8	11	4900	SEA@MIN	MIN	SEA	MIN		
MIN Defense	7.027410158	12540	DEF	Minnesota	Vikings	7.9	11	4500	SEA@MIN	MIN	SEA	MIN		
Owen Daniels	6.943683107	6682	TE	Owen	Daniels	6.4	11	5200	DEN@SD	DEN	SDG	SDG	P	Knee
C.J. Anderson	6.870637238	29249	RB	C.J.	Anderson	8.6	11	6800	DEN@SD	DEN	SDG	SDG		
IND Defense	6.757445564	12535	DEF	Indianapolis	Colts	7.2	11	4100	IND@PIT	IND	PIT	PIT		
Jerricho Cotchery	6.656288045	6688	WR	Jerricho	Cotchery	5.6	9	5300	CAR@NO	CAR	NOR	NOR		
Isaiah Crowell	6.63428903	54684	RB	Isaiah	Crowell	6.3	11	5400	CIN@CLE	CLE	CIN	CLE		
Dontrelle Inman	6.63002416	14645	WR	Dontrelle	Inman	4.9	10	5500	DEN@SD	SDG	DEN	SDG		
Alfred Blue	6.526177428	31406	RB	Alfred	Blue	7.1	11	6000	HOU@BUF	HOU	BUF	BUF	P	Back
Robert Woods	6.490679379	29685	WR	Robert	Woods	6	11	5100	HOU@BUF	BUF	HOU	BUF		
Clay Harbor	6.463358386	11543	TE	Clay	Harbor	2.1	10	4500	JAC@TEN	JAX	TEN	TEN		
Josh Huff	6.353532418	29340	WR	Josh	Huff	5	10	4800	PHI@NE	PHI	NWE	NWE	P	Head
Markus Wheaton	6.295118922	29500	WR	Markus	Wheaton	6.7	11	6000	IND@PIT	PIT	IND	PIT		
Riley Cooper	6.28319324	11577	WR	Riley	Cooper	4.2	11	4900	PHI@NE	PHI	NWE	NWE		
Devin Funchess	6.1959487	28080	WR	Devin	Funchess	4.5	11	5600	CAR@NO	CAR	NOR	NOR		
Albert Wilson	6.173186366	48344	WR	Albert	Wilson	4.8	9	4800	KC@OAK	KAN	OAK	OAK		
Corey (Philly) Brown	6.17015142	28486	WR	Corey (Philly)	Brown	5.9	9	4700	CAR@NO	CAR	NOR	NOR	P	Shoulder
SD Defense	6.121804068	12548	DEF	San Diego	Chargers	3.9	11	4000	DEN@SD	SDG	DEN	SDG		
Kenny Stills	6.094819681	27457	WR	Kenny	Stills	5.1	11	4900	BAL@MIA	MIA	BAL	MIA	Q	Ankle
Jeremy Butler	6.09313735	54674	WR	Jeremy	Butler	4.4	3	4700	BAL@MIA	BAL	MIA	MIA		
Charles Sims	6.091211894	31871	RB	Charles	Sims	8.6	11	5200	ATL@TB	TAM	ATL	TAM		
Frank Gore	6.087647795	6840	RB	Frank	Gore	10.6	11	6200	IND@PIT	IND	PIT	PIT		
Torrey Smith	6.080956066	14288	WR	Torrey	Smith	6.3	11	5400	SF@CHI	SFO	CHI	CHI		
Keshawn Martin	6.033665008	22063	WR	Keshawn	Martin	5	4	5100	PHI@NE	NWE	PHI	NWE		
Jamison Crowder	6.026345161	24755	WR	Jamison	Crowder	6.6	11	5300	DAL@WAS	WAS	DAL	WAS		
Gavin Escobar	6.014998193	39411	TE	Gavin	Escobar	1.3	11	4500	DAL@WAS	DAL	WAS	WAS		
Dorial Green-Beckham	5.961883129	27134	WR	Dorial	Green-Beckham	4.2	11	5100	JAC@TEN	TEN	JAX	TEN		
Chris Hogan	5.960081918	14704	WR	Chris	Hogan	5.7	11	4800	HOU@BUF	BUF	HOU	BUF		
Kenbrell Thompkins	5.936082511	33037	WR	Kenbrell	Thompkins	4.8	3	4600	NYJ@NYG	NYJ	NYG	NYG		
Zach Miller	5.874135646	8050	TE	Zach	Miller	4.9	11	5200	SF@CHI	CHI	SFO	CHI	Q	Ribs
Bishop Sankey	5.869569542	29991	RB	Bishop	Sankey	4.2	9	4500	JAC@TEN	TEN	JAX	TEN		
Martellus Bennett	5.841517321	6448	TE	Martellus	Bennett	8.6	10	5200	SF@CHI	CHI	SFO	CHI	P	Ribs
Coby Fleener	5.816084731	21971	TE	Coby	Fleener	6.2	11	4900	IND@PIT	IND	PIT	PIT		
Jamarcus Nelson	5.736181261	34154	WR	Jamarcus	Nelson	5.8	6	5100	ARI@STL	ARI	STL	STL		
Harry Douglas	5.721199413	10030	WR	Harry	Douglas	5	9	5400	JAC@TEN	TEN	JAX	TEN		
Alfred Morris	5.670676347	22113	RB	Alfred	Morris	5.3	11	5600	DAL@WAS	WAS	DAL	WAS		
James Hanna	5.621208803	22123	TE	James	Hanna	0.3	9	4500	DAL@WAS	DAL	WAS	WAS		
Greg Olsen	5.56993078	6914	TE	Greg	Olsen	12.8	11	6600	CAR@NO	CAR	NOR	NOR		
Randy Bullock	5.548416806	22100	K	Randy	Bullock	6.7	6	4700	NYJ@NYG	NYJ	NYG	NYG		
Kenny Britt	5.543584409	6535	WR	Kenny	Britt	5.3	11	5400	ARI@STL	STL	ARI	STL		
Josh Bellamy	5.513095704	22336	WR	Josh	Bellamy	2.4	11	4500	SF@CHI	CHI	SFO	CHI		
Brian Parker	5.385880242	62534	TE	Brian	Parker	0.3	4	4500	KC@OAK	KAN	OAK	OAK		
BAL Defense	5.302326025	12555	DEF	Baltimore	Ravens	7.3	11	4400	BAL@MIA	BAL	MIA	MIA		
Cole Beasley	5.260664264	22288	WR	Cole	Beasley	6.6	11	5200	DAL@WAS	DAL	WAS	WAS		
WAS Defense	5.248161289	12552	DEF	Washington	Redskins	8	11	4400	DAL@WAS	WAS	DAL	WAS		
Roddy White	5.236848424	6618	WR	Roddy	White	4.6	11	5400	ATL@TB	ATL	TAM	TAM		
Derek Carrier	5.147920356	22920	TE	Derek	Carrier	2.5	11	4900	DAL@WAS	WAS	DAL	WAS	Q	Achilles
Heath Miller	5.121823456	6580	TE	Heath	Miller	6	11	5400	IND@PIT	PIT	IND	PIT	Q	Ribs
Vernon Davis	5.115945611	6870	TE	Vernon	Davis	4.3	10	5200	DEN@SD	DEN	SDG	SDG		
Brandon Coleman	5.044199909	26094	WR	Brandon	Coleman	3.2	11	4600	CAR@NO	NOR	CAR	NOR		
