Name	Projection	Id	Position	First Name	Last Name	FPPG	Played	Salary	Game	Team	Opponent	Location	Injury Indicator	Injury Details
Chris Givens	3.799160277	22034	WR	Chris	Givens	3.7	10	4500	BAL@MIA	BAL	MIA	MIA		
Will Tye	3.775159009	24847	TE	Will	Tye	3.9	8	4900	NYJ@NYG	NYG	NYJ	NYG		
Dion Sims	3.753415363	28144	TE	Dion	Sims	2	8	4600	BAL@MIA	MIA	BAL	MIA	P	Neck
Jack Doyle	3.751955579	39859	TE	Jack	Doyle	1.5	11	4500	IND@PIT	IND	PIT	PIT		
Brice Butler	3.658433874	39445	WR	Brice	Butler	3.1	4	4900	DAL@WAS	DAL	WAS	WAS		
Denard Robinson	3.653896148	28088	RB	Denard	Robinson	2.3	8	5100	JAC@TEN	JAX	TEN	TEN		
Craig Stevens	3.647239239	6597	TE	Craig	Stevens	1.8	11	4500	JAC@TEN	TEN	JAX	TEN		
Matt Asiata	3.640418651	14757	RB	Matt	Asiata	2.2	11	4500	SEA@MIN	MIN	SEA	MIN		
Robert Turbin	3.596363248	22048	RB	Robert	Turbin	2.8	5	4900	DAL@WAS	DAL	WAS	WAS		
Phillip Supernaw	3.590804547	23003	TE	Phillip	Supernaw	0.1	11	4500	JAC@TEN	TEN	JAX	TEN		
Jeremy Kerley	3.589475667	14349	WR	Jeremy	Kerley	3.2	11	4500	NYJ@NYG	NYJ	NYG	NYG		
John Phillips	3.582348816	6823	TE	John	Phillips	1.4	11	4500	DEN@SD	SDG	DEN	SDG		
Quincy Enunwa	3.582059276	27266	WR	Quincy	Enunwa	2.9	7	4800	NYJ@NYG	NYJ	NYG	NYG		
Jared Cook	3.575561111	7761	TE	Jared	Cook	4.8	11	4700	ARI@STL	STL	ARI	STL		
Bilal Powell	3.530523698	14320	RB	Bilal	Powell	6.5	7	5100	NYJ@NYG	NYJ	NYG	NYG		
Wes Welker	3.505819522	7857	WR	Wes	Welker	3.1	3	4900	ARI@STL	STL	ARI	STL		
Greg Jennings	3.45392796	6896	WR	Greg	Jennings	2.2	11	4700	BAL@MIA	MIA	BAL	MIA		
Ed Dickson	3.406902844	11488	TE	Ed	Dickson	2.4	11	4800	CAR@NO	CAR	NOR	NOR		
Fred Jackson	3.406629095	7660	RB	Fred	Jackson	3.5	11	4800	SEA@MIN	SEA	MIN	MIN		
Orleans Darkwa	3.393301687	33691	RB	Orleans	Darkwa	1.6	11	4800	NYJ@NYG	NYG	NYJ	NYG		
Kyle Juszczyk	3.36461589	39428	RB	Kyle	Juszczyk	4.4	11	4500	BAL@MIA	BAL	MIA	MIA		
Khari Lee	3.34393316	62617	TE	Khari	Lee	0.1	11	4500	SF@CHI	CHI	SFO	CHI		
Shaun Draughn	3.335992117	15006	RB	Shaun	Draughn	4.6	8	5900	SF@CHI	SFO	CHI	CHI		
Ryan Grant	3.313649804	33703	WR	Ryan	Grant	3.3	11	4600	DAL@WAS	WAS	DAL	WAS		
David Johnson	3.2737897	62497	RB	David	Johnson	8.5	11	5900	ARI@STL	ARI	STL	STL		
David Johnson	3.2737897	6567	TE	David	Johnson	0	11	4500	DEN@SD	SDG	DEN	SDG		
Nick Williams	3.268829071	34071	WR	Nick	Williams	2.6	9	4500	ATL@TB	ATL	TAM	TAM		
Jonas Gray	3.24335262	22774	RB	Jonas	Gray	3.7	6	4700	BAL@MIA	MIA	BAL	MIA		
Jeff Cumberland	3.240738398	11766	TE	Jeff	Cumberland	1	10	4500	NYJ@NYG	NYJ	NYG	NYG		
Scott Chandler	3.232766673	10158	TE	Scott	Chandler	4.3	11	5300	PHI@NE	NWE	PHI	NWE	P	Knee
Andre Roberts	3.169427645	11504	WR	Andre	Roberts	2.8	9	4700	DAL@WAS	WAS	DAL	WAS	Q	Knee
Jerome Simpson	3.161655626	7703	WR	Jerome	Simpson	1.6	3	4700	SF@CHI	SFO	CHI	CHI		
Kellen Davis	3.097953824	7001	TE	Kellen	Davis	0.6	11	4500	NYJ@NYG	NYJ	NYG	NYG		
Shayne Graham	3.088640312	6815	K	Shayne	Graham	4	1	4800	ATL@TB	ATL	TAM	TAM		
Andre Williams	3.080333042	25694	RB	Andre	Williams	2.5	11	4600	NYJ@NYG	NYG	NYJ	NYG		
C.J. Fiedorowicz	3.080207859	27908	TE	C.J.	Fiedorowicz	2.2	11	4500	HOU@BUF	HOU	BUF	BUF		
Brandon Myers	3.011133004	7801	TE	Brandon	Myers	1.7	11	4600	ATL@TB	TAM	ATL	TAM		
Mike Tolbert	3.00796966	7975	RB	Mike	Tolbert	4.2	11	4900	CAR@NO	CAR	NOR	NOR		
Jerick McKinnon	2.996403908	54608	RB	Jerick	McKinnon	2	11	4600	SEA@MIN	MIN	SEA	MIN		
Griff Whalen	2.991236959	22447	WR	Griff	Whalen	2.7	11	4500	IND@PIT	IND	PIT	PIT		
Devin Smith	2.966070277	28502	WR	Devin	Smith	2.5	8	4900	NYJ@NYG	NYJ	NYG	NYG		
MIA Defense	2.956244748	12539	DEF	Miami	Dolphins	5.9	11	4500	BAL@MIA	MIA	BAL	MIA		
Donteea Dye	2.955935026	62680	WR	Donteea	Dye	2.1	5	4500	ATL@TB	TAM	ATL	TAM		
CLE Defense	2.932345734	12529	DEF	Cleveland	Browns	6.1	11	4000	CIN@CLE	CLE	CIN	CLE		
Chris Gragg	2.932311783	31188	TE	Chris	Gragg	1.8	8	4500	HOU@BUF	BUF	HOU	BUF		
Luke Stocker	2.911427696	14304	TE	Luke	Stocker	0.4	9	4500	ATL@TB	TAM	ATL	TAM	Q	Back
Keith Mumphery	2.881860659	28131	WR	Keith	Mumphery	1.8	11	4500	HOU@BUF	HOU	BUF	BUF		
Bennie Fowler	2.860338715	28157	WR	Bennie	Fowler	2.2	11	4600	DEN@SD	DEN	SDG	SDG	Q	Ankle
