FPPG,ID,Location,Name,Opponent,Position,Salary,Team,Projection 1,Projection 2,Projection 3,Projection 4,Projection 5,Projection 6,Projection 7,Projection 8,Projection 9,Projection 10,Mean,Median,Standard Deviation
7.6,7831,DEN,Sebastian Janikowski,DEN,K,4500,OAK,6.95230356931,6.76666701681,12.4753573775,5.01275714279,7.28240727305,3.47043518983,9.9198379871,10.6364202938,11.1158170688,11.1799813415,8.48119842604,8.60112263008,2.84156094853
8.8,26247,DEN,Brandon McManus,OAK,K,5000,DEN,7.62051040584,11.1562570018,9.28180098673,10.6809287833,8.13740623396,7.53134487199,8.19398432838,9.16378102787,11.6466222307,8.51786829253,9.19305041632,8.8408246602,1.41064687752
9.6,23045,BAL,Justin Tucker,SEA,K,4700,BAL,11.2429961748,13.2271981231,9.64613165078,8.6614018533,15.1284851933,15.5304625027,10.9308666961,12.589143041,12.899192486,11.091593281,12.0947471002,11.9160696079,2.09884978527
8.9,6724,BAL,Steven Hauschka,BAL,K,5100,SEA,8.19018699466,8.47117177838,8.46615794075,8.45418476982,9.8797239794,10.6806363282,13.9216771156,10.9745574519,9.76933120379,9.63315028146,9.8440777844,9.70124074262,1.64641034464
7.4,10647,CAR,Matt Bryant,CAR,K,5000,ATL,7.54362106118,6.42119765607,6.26508457808,5.72070689175,6.41104688236,6.87157056826,5.17263510488,9.58422302512,8.57992044607,10.1440946965,7.27141009103,6.64638411217,1.57584593931
10.0,6815,CAR,Shayne Graham,CAR,K,4700,ATL,11.2766919728,11.1306133214,9.61441210836,11.4750602266,10.0109572708,10.6391453009,9.57710377037,10.1343836805,9.51661704933,10.656020986,10.4031005687,10.3867644907,0.698380875208
10.8,10744,CAR,Graham Gano,ATL,K,4900,CAR,10.760031649,6.88770541474,10.0514186192,9.54224975152,9.38912030039,10.9244181053,8.46241029848,9.07797303073,13.2167347513,11.266798721,9.95788606417,9.79683418535,1.63867840483
8.3,6897,GNB,Mason Crosby,DAL,K,4700,GNB,10.0864577028,10.7076525893,7.07862596568,12.2183735577,7.66366923859,9.35660502656,7.96728647245,14.2449182333,7.40520619192,10.6830932971,9.74118882753,9.72153136468,2.20266310068
9.0,14952,GNB,Dan Bailey,GNB,K,4500,DAL,12.2791915788,8.49356841171,8.32203615526,10.1840252051,11.9892208198,7.89105171538,8.2052857047,8.63734978708,9.96686096688,9.33355814727,9.5302148492,8.98545396718,1.48439272851
5.7,6767,NYJ,Ryan Succop,NYJ,K,4500,TEN,5.92701161198,8.78678366681,5.30977908051,3.95617146361,3.09167726795,4.10330527256,4.19564813971,5.93751123537,2.77881863,5.34253958761,4.94292459561,4.75271361011,1.65452991829
7.3,22100,NYJ,Randy Bullock,TEN,K,4700,NYJ,5.65257182706,7.91690015227,6.247192971,7.4050785499,7.22939191861,7.60128807922,5.60738386229,7.18817327676,5.91306537194,7.039916981,6.780096299,7.11404512888,0.804703448142
10.8,7900,HOU,Stephen Gostkowski,HOU,K,5000,NWE,12.6238931176,9.61342910109,7.7885022416,11.3273637522,16.0318030635,9.13382621051,10.6025063426,8.77064917307,11.7292664076,10.2449331033,10.7866172513,10.423719723,2.22613519649
5.2,12090,HOU,Nick Novak,NWE,K,4500,HOU,5.17110237291,4.62057788312,4.5386789002,6.16329252903,4.29176494422,5.85868036588,5.76734838555,6.62433809131,5.23531295702,6.46499743521,5.47360938645,5.50133067129,0.785115382495
5.4,15176,TAM,Kai Forbath,TAM,K,4600,NOR,7.15496728321,4.79949981656,3.43788438913,3.89589593208,8.69198718461,5.36221950965,7.01315776212,5.6228642466,5.34964340844,4.06201652889,5.53901360613,5.35593145904,1.56980185082
9.8,6427,TAM,Connor Barth,NOR,K,4600,TAM,6.85421710724,9.42284834813,9.63485913781,8.21376139137,10.0998960673,5.30164917232,14.3853989789,10.3038020824,9.56831161569,9.78977065038,9.35745145516,9.60158537675,2.25972110676
10.5,32058,CIN,Chris Boswell,CIN,K,4700,PIT,8.23521696912,10.9406080682,17.948215472,11.5721478714,12.4061495909,12.7028941103,11.3825764398,6.27160235137,16.0079699722,9.39332030539,11.6860701151,11.4773621556,3.26478297863
8.4,6636,CIN,Mike Nugent,PIT,K,4800,CIN,8.93067420539,8.39800811952,8.22299830731,9.71939974411,7.43051438358,7.78340091312,8.85488003738,8.39375428674,8.68021711389,9.51767025943,8.59315173705,8.53911261671,0.673457386926
7.9,32429,KAN,Josh Lambo,KAN,K,4600,SDG,8.788985951,8.26875366673,7.571939983,6.16056433398,7.72986736257,7.90926991439,7.38119805169,10.1926282723,9.37471766384,9.65079892991,8.30287241294,8.08901179056,1.15025620063
10.0,33714,KAN,Cairo Santos,SDG,K,4700,KAN,5.76077037236,9.2763157131,7.74962309346,11.3765575562,6.16966920704,8.11844094201,8.0052987466,10.3039030131,6.75957904579,11.5910712413,8.51112289309,8.0618698443,1.96471543931
8.8,24912,CHI,Dustin Hopkins,CHI,K,4500,WAS,7.87981529267,9.12017323567,7.49872978576,6.09927973051,9.01480292064,10.3475319384,8.53375352015,5.81266695196,5.82900094124,6.44359963913,7.65793539562,7.68927253922,1.50694488042
9.4,6910,CHI,Robbie Gould,WAS,K,4800,CHI,8.87938606171,8.3520354989,11.6547476724,9.11494368547,7.69505757716,11.9012222933,9.09211842407,9.65217286837,4.50276704559,6.37750075383,8.72219518807,8.98575224289,2.10665457906
5.6,31109,STL,Zach Hocker,DET,K,4500,STL,4.6502161876,7.1719604015,5.02782021743,8.89673841548,7.16840265431,9.10221019133,4.80486185077,7.08813755292,6.14401517901,5.13754511864,6.5191907769,6.61607636596,1.55569547245
