"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14185","QB","Cam","Newton","25.1","14","9300","CAR@ATL","CAR","ATL","","","",""
"11612","WR","Antonio","Brown","20.1","14","9300","PIT@BAL","PIT","BAL","","","",""
"6589","QB","Ben","Roethlisberger","19.8","10","8900","PIT@BAL","PIT","BAL","","","",""
"22015","QB","Russell","Wilson","21.6","14","8800","STL@SEA","SEA","STL","","","",""
"6498","QB","Tom","Brady","23.8","14","8800","NE@NYJ","NE","NYJ","","","",""
"31360","WR","Odell","Beckham Jr.","18.8","14","8700","NYG@MIN","NYG","MIN","O","Suspension","",""
"6748","QB","Carson","Palmer","21","14","8700","GB@ARI","ARI","GB","Q","Finger","",""
"14190","WR","Julio","Jones","18.5","14","8600","CAR@ATL","ATL","CAR","","","",""
"16606","WR","DeAndre","Hopkins","17.3","14","8500","HOU@TEN","HOU","TEN","","","",""
"6894","QB","Aaron","Rodgers","20","14","8500","GB@ARI","GB","ARI","","","",""
"24920","RB","Devonta","Freeman","19.2","13","8500","CAR@ATL","ATL","CAR","","","",""
"14187","WR","A.J.","Green","14.7","14","8400","CIN@DEN","CIN","DEN","Q","Back","",""
"28643","WR","Allen","Robinson","16.2","14","8400","JAC@NO","JAC","NO","","","",""
"30447","RB","Todd","Gurley","15.2","12","8300","STL@SEA","STL","SEA","","","",""
"6759","WR","Brandon","Marshall","16.8","14","8300","NE@NYJ","NYJ","NE","P","Ankle","",""
"6504","QB","Drew","Brees","20.8","13","8200","JAC@NO","NO","JAC","Q","Foot","",""
"32384","WR","Mike","Evans","11.8","13","8200","CHI@TB","TB","CHI","","","",""
"11460","TE","Rob","Gronkowski","15.9","13","8200","NE@NYJ","NE","NYJ","P","Not injury related","",""
"34308","QB","Blake","Bortles","21.2","14","8200","JAC@NO","JAC","NO","","","",""
"6703","RB","Adrian","Peterson","15.3","14","8200","NYG@MIN","MIN","NYG","Q","Ankle","",""
"21970","RB","Doug","Martin","13.8","14","8100","CHI@TB","TB","CHI","","","",""
"21939","QB","Andrew","Luck","20.1","7","8100","IND@MIA","IND","MIA","O","Abdomen","",""
"6899","RB","Matt","Forte","15","11","8100","CHI@TB","CHI","TB","","","",""
"21980","WR","Alshon","Jeffery","14.6","9","7800","CHI@TB","CHI","TB","Q","Hamstring","",""
"6655","WR","Calvin","Johnson","12.6","14","7800","SF@DET","DET","SF","Q","Ankle","",""
"11432","WR","Demaryius","Thomas","13.2","14","7800","CIN@DEN","DEN","CIN","","","",""
"7659","QB","Ryan","Fitzpatrick","18.8","14","7700","NE@NYJ","NYJ","NE","P","Thumb","",""
"24641","WR","Sammy","Watkins","14.4","11","7700","DAL@BUF","BUF","DAL","","","",""
"14626","WR","Doug","Baldwin","14.4","14","7700","STL@SEA","SEA","STL","Q","Hamstring","",""
"14377","QB","Tyrod","Taylor","20.5","12","7700","DAL@BUF","BUF","DAL","","","",""
"6654","QB","Matthew","Stafford","18.4","14","7600","SF@DET","DET","SF","","","",""
"11501","WR","Eric","Decker","14.4","13","7600","NE@NYJ","NYJ","NE","P","Knee","",""
"11505","WR","Emmanuel","Sanders","12.4","13","7500","CIN@DEN","DEN","CIN","","","",""
"9371","RB","Marshawn","Lynch","10.9","7","7500","STL@SEA","SEA","STL","O","Abdomen","",""
"6826","QB","Eli","Manning","19.5","14","7400","NYG@MIN","NYG","MIN","","","",""
"6732","RB","DeAngelo","Williams","12.9","14","7400","PIT@BAL","PIT","BAL","","","",""
"62497","RB","David","Johnson","12.2","14","7300","GB@ARI","ARI","GB","","","",""
"7859","WR","Julian","Edelman","15.8","9","7300","NE@NYJ","NE","NYJ","Q","Foot","",""
"6883","WR","Larry","Fitzgerald","14.3","14","7300","GB@ARI","ARI","GB","","","",""
"24849","QB","Jameis","Winston","17.8","14","7300","CHI@TB","TB","CHI","","","",""
"24675","WR","Martavis","Bryant","15.9","9","7200","PIT@BAL","PIT","BAL","","","",""
"6779","RB","LeSean","McCoy","13.6","12","7200","DAL@BUF","BUF","DAL","D","Knee","",""
"6627","WR","Ted","Ginn Jr.","11.5","14","7100","CAR@ATL","CAR","ATL","Q","Quadriceps","",""
"25760","WR","Allen","Hurns","12.6","13","7100","JAC@NO","JAC","NO","Q","Thigh","",""
"6733","RB","Jonathan","Stewart","11.9","13","7100","CAR@ATL","CAR","ATL","Q","Foot","",""
"29501","WR","Brandin","Cooks","13.2","14","7000","JAC@NO","NO","JAC","","","",""
"31394","WR","Jarvis","Landry","13.9","14","7000","IND@MIA","MIA","IND","Q","Knee","",""
"11435","WR","Dez","Bryant","8.2","9","7000","DAL@BUF","DAL","BUF","Q","Foot","",""
"7806","RB","Darren","McFadden","10.7","14","7000","DAL@BUF","DAL","BUF","","","",""
"21948","QB","Ryan","Tannehill","16.4","14","6900","IND@MIA","MIA","IND","","","",""
"11864","RB","Christopher","Ivory","13.3","13","6900","NE@NYJ","NYJ","NE","","","",""
"29358","QB","Marcus","Mariota","17.9","12","6900","HOU@TEN","TEN","HOU","O","Knee","",""
"7283","WR","Jeremy","Maclin","13.2","13","6900","CLE@KC","KC","CLE","","","",""
"6898","QB","Jay","Cutler","15.9","13","6900","CHI@TB","CHI","TB","","","",""
"21994","QB","Brock","Osweiler","16.2","6","6800","CIN@DEN","DEN","CIN","P","Shoulder","",""
"6616","QB","Matt","Ryan","15.2","14","6800","CAR@ATL","ATL","CAR","","","",""
"14257","WR","Randall","Cobb","11.4","14","6800","GB@ARI","GB","ARI","","","",""
"6914","TE","Greg","Olsen","12.9","14","6800","CAR@ATL","CAR","ATL","","","",""
"8005","QB","Alex","Smith","17","14","6800","CLE@KC","KC","CLE","","","",""
"22031","WR","T.Y.","Hilton","11.6","14","6800","IND@MIA","IND","MIA","","","",""
"54687","RB","Charcandrick","West","8.7","13","6700","CLE@KC","KC","CLE","","","",""
"11485","WR","Golden","Tate","10.8","14","6700","SF@DET","DET","SF","","","",""
"7872","QB","Brian","Hoyer","16.1","10","6700","HOU@TEN","HOU","TEN","Q","Concussion","",""
"33259","QB","Teddy","Bridgewater","13.9","14","6600","NYG@MIN","MIN","NYG","","","",""
"14905","WR","Kamar","Aiken","9.9","14","6600","PIT@BAL","BAL","PIT","","","",""
"28930","RB","James","White","6.9","12","6600","NE@NYJ","NE","NYJ","","","",""
"6863","TE","Delanie","Walker","13","13","6600","HOU@TEN","TEN","HOU","","","",""
"14317","TE","Julius","Thomas","9.4","10","6500","JAC@NO","JAC","NO","","","",""
"8117","WR","Danny","Amendola","8.7","13","6500","NE@NYJ","NE","NYJ","Q","Knee","",""
"6661","QB","Peyton","Manning","11.8","9","6500","CIN@DEN","DEN","CIN","D","Foot","",""
"22037","RB","Lamar","Miller","13.3","14","6500","IND@MIA","MIA","IND","Q","Quadriceps","",""
"6422","TE","Gary","Barnidge","12.9","14","6400","CLE@KC","CLE","KC","","","",""
"54606","WR","John","Brown","12.2","13","6400","GB@ARI","ARI","GB","","","",""
"31061","RB","T.J.","Yeldon","11.5","12","6400","JAC@NO","JAC","NO","Q","Knee","",""
"28088","RB","Denard","Robinson","4.3","11","6400","JAC@NO","JAC","NO","P","Foot","",""
"31561","WR","Donte","Moncrief","9.9","14","6300","IND@MIA","IND","MIA","Q","Toe","",""
"21952","WR","Michael","Floyd","10.1","13","6300","GB@ARI","ARI","GB","","","",""
"21959","QB","Brandon","Weeden","9.5","5","6300","HOU@TEN","HOU","TEN","","","",""
"26458","WR","Tavon","Austin","11.4","14","6300","STL@SEA","STL","SEA","","","",""
"33557","TE","Tyler","Eifert","12.7","12","6300","CIN@DEN","CIN","DEN","Q","Concussion","",""
"11495","WR","Brandon","LaFell","7.3","9","6300","NE@NYJ","NE","NYJ","Q","Foot","",""
"6828","RB","Tim","Hightower","5.1","6","6300","JAC@NO","NO","JAC","","","",""
"30968","RB","Eddie","Lacy","8.5","13","6300","GB@ARI","GB","ARI","Q","Ribs","",""
"22003","RB","Ronnie","Hillman","8.6","14","6200","CIN@DEN","DEN","CIN","","","",""
"7953","WR","Vincent","Jackson","9.1","10","6200","CHI@TB","TB","CHI","Q","Knee","",""
"27050","WR","Tyler","Lockett","9.3","14","6200","STL@SEA","SEA","STL","","","",""
"33076","TE","Travis","Kelce","9.9","14","6100","CLE@KC","KC","CLE","P","Groin","",""
"14194","QB","Blaine","Gabbert","17.2","6","6100","SF@DET","SF","DET","","","",""
"31397","RB","Jeremy","Hill","9.8","14","6100","CIN@DEN","CIN","DEN","","","",""
"11466","QB","Jimmy","Clausen","9.3","4","6100","PIT@BAL","BAL","PIT","","","",""
"22894","QB","Kellen","Moore","7.3","1","6000","DAL@BUF","DAL","BUF","","","",""
"22848","QB","Austin","Davis","7.2","2","6000","CLE@KC","CLE","KC","","","",""
"29500","WR","Markus","Wheaton","7.9","14","6000","PIT@BAL","PIT","BAL","","","",""
"33260","WR","DeVante","Parker","4.2","12","6000","IND@MIA","MIA","IND","","","",""
"22994","QB","Case","Keenum","6.7","4","6000","STL@SEA","STL","SEA","","","",""
"27405","QB","Landry","Jones","3.7","7","6000","PIT@BAL","PIT","BAL","","","",""
"32415","QB","Johnny","Manziel","10.6","8","6000","CLE@KC","CLE","KC","","","",""
"26483","QB","Geno","Smith","21","1","6000","NE@NYJ","NYJ","NE","Q","Illness","",""
"31421","QB","Zach","Mettenberger","6.4","5","6000","HOU@TEN","TEN","HOU","","","",""
"31047","QB","AJ","McCarron","6.1","5","6000","CIN@DEN","CIN","DEN","","","",""
"44449","WR","Willie","Snead","10.3","13","6000","JAC@NO","NO","JAC","","","",""
"7970","QB","Charlie","Whitehurst","0.7","3","6000","IND@MIA","IND","MIA","","","",""
"6840","RB","Frank","Gore","10.5","14","6000","IND@MIA","IND","MIA","","","",""
"25079","WR","Stefon","Diggs","10.7","11","6000","NYG@MIN","MIN","NYG","","","",""
"6831","QB","Matt","Hasselbeck","13.2","7","6000","IND@MIA","IND","MIA","Q","Ribs","",""
"6679","QB","Matt","Schaub","15.3","2","6000","PIT@BAL","BAL","PIT","P","Chest","",""
"7778","QB","Matt","Cassel","8","9","6000","DAL@BUF","DAL","BUF","","","",""
"14320","RB","Bilal","Powell","10","10","5900","NE@NYJ","NYJ","NE","","","",""
"6479","WR","Anquan","Boldin","9.6","12","5900","SF@DET","SF","DET","","","",""
"22103","WR","Marvin","Jones","9.3","14","5900","CIN@DEN","CIN","DEN","","","",""
"22027","QB","Nick","Foles","9.5","11","5900","STL@SEA","STL","SEA","","","",""
"29645","RB","Javorius","Allen","6.7","14","5800","PIT@BAL","BAL","PIT","","","",""
"22219","WR","Jermaine","Kearse","7.2","14","5800","STL@SEA","SEA","STL","Q","Calf","",""
"21999","WR","Rueben","Randle","9","14","5700","NYG@MIN","NYG","MIN","","","",""
"6645","WR","Marques","Colston","7.6","13","5700","JAC@NO","NO","JAC","Q","Chest","",""
"28473","RB","Carlos","Hyde","10.8","7","5700","SF@DET","SF","DET","IR","Foot","",""
"15006","RB","Shaun","Draughn","5.9","11","5700","SF@DET","SF","DET","Q","Knee","",""
"31406","RB","Alfred","Blue","6.3","14","5700","HOU@TEN","HOU","TEN","P","Back","",""
"25837","RB","Duke","Johnson","8.7","14","5700","CLE@KC","CLE","KC","Q","Hamstring","",""
"8052","RB","Rashad","Jennings","7.9","14","5700","NYG@MIN","NYG","MIN","","","",""
"27134","WR","Dorial","Green-Beckham","6.3","14","5700","HOU@TEN","TEN","HOU","","","",""
"6618","WR","Roddy","White","4.8","14","5600","CAR@ATL","ATL","CAR","","","",""
"14307","WR","Cecil","Shorts","8.1","11","5600","HOU@TEN","HOU","TEN","D","Groin","",""
"38269","RB","Cameron","Artis-Payne","2.7","5","5600","CAR@ATL","CAR","ATL","","","",""
"45889","WR","Davante","Adams","6.2","11","5600","GB@ARI","GB","ARI","","","",""
"54684","RB","Isaiah","Crowell","7.7","14","5600","CLE@KC","CLE","KC","P","Not injury related","",""
"54674","WR","Jeremy","Butler","6.3","6","5600","PIT@BAL","BAL","PIT","","","",""
"7222","WR","James","Jones","10.3","14","5600","GB@ARI","GB","ARI","","","",""
"8050","TE","Zach","Miller","5.8","14","5600","CHI@TB","CHI","TB","","","",""
"7870","TE","Benjamin","Watson","9.8","14","5600","JAC@NO","NO","JAC","Q","Knee","",""
"28080","WR","Devin","Funchess","5.1","14","5600","CAR@ATL","CAR","ATL","","","",""
"11609","RB","James","Starks","10","14","5600","GB@ARI","GB","ARI","","","",""
"25290","RB","Giovani","Bernard","10.4","14","5500","CIN@DEN","CIN","DEN","","","",""
"6641","TE","Jason","Witten","7.8","14","5500","DAL@BUF","DAL","BUF","Q","Chest","",""
"14288","WR","Torrey","Smith","6.5","14","5500","SF@DET","SF","DET","Q","Back","",""
"10030","WR","Harry","Douglas","4.7","12","5500","HOU@TEN","TEN","HOU","","","",""
"29249","RB","C.J.","Anderson","7.9","13","5500","CIN@DEN","DEN","CIN","","","",""
"32418","RB","Christine","Michael","2.4","6","5500","STL@SEA","SEA","STL","","","",""
"16923","TE","Austin","Seferian-Jenkins","9.8","5","5500","CHI@TB","TB","CHI","","","",""
"34154","WR","Jamarcus","Nelson","5","9","5400","GB@ARI","ARI","GB","","","",""
"46882","RB","Jay","Ajayi","5.2","7","5400","IND@MIA","MIA","IND","","","",""
"54608","RB","Jerick","McKinnon","3.1","14","5400","NYG@MIN","MIN","NYG","","","",""
"31459","RB","Spencer","Ware","7.2","9","5400","CLE@KC","KC","CLE","Q","Ribs","",""
"12550","D","Seattle","Seahawks","10.8","13","5400","STL@SEA","SEA","STL","","","",""
"6808","QB","Matt","Moore","0.4","1","5400","IND@MIA","MIA","IND","","","",""
"12536","D","Kansas City","Chiefs","10.2","13","5400","CLE@KC","KC","CLE","","","",""
"24907","RB","Karlos","Williams","10.4","9","5400","DAL@BUF","BUF","DAL","Q","Shoulder","",""
"33465","RB","Theo","Riddick","8.7","14","5400","SF@DET","DET","SF","","","",""
"6688","WR","Jerricho","Cotchery","5.8","12","5400","CAR@ATL","CAR","ATL","","","",""
"22035","WR","Travis","Benjamin","10.9","14","5400","CLE@KC","CLE","KC","","","",""
"22063","WR","Keshawn","Martin","5.4","7","5400","NE@NYJ","NE","NYJ","","","",""
"47828","RB","Antonio","Andrews","8.5","12","5300","HOU@TEN","TEN","HOU","","","",""
"6580","TE","Heath","Miller","6.2","13","5300","PIT@BAL","PIT","BAL","","","",""
"27229","RB","Ameer","Abdullah","6.6","14","5300","SF@DET","DET","SF","","","",""
"22898","RB","Brandon","Bolden","3.6","13","5300","NE@NYJ","NE","NYJ","","","",""
"14245","RB","Shane","Vereen","8.2","14","5300","NYG@MIN","NYG","MIN","","","",""
"29314","TE","Richard","Rodgers","8.2","14","5300","GB@ARI","GB","ARI","","","",""
"28486","WR","Corey (Philly)","Brown","6.3","12","5300","CAR@ATL","CAR","ATL","","","",""
"30237","RB","Mike","Gillislee","10","3","5300","DAL@BUF","BUF","DAL","","","",""
"46001","RB","Joey","Iosefa","5.1","1","5300","NE@NYJ","NE","NYJ","","","",""
"11712","RB","Joique","Bell","7.2","11","5300","SF@DET","DET","SF","","","",""
"29685","WR","Robert","Woods","6.8","14","5200","DAL@BUF","BUF","DAL","IR","Groin","",""
"6535","WR","Kenny","Britt","5.9","14","5200","STL@SEA","STL","SEA","","","",""
"6610","WR","Nate","Washington","8.4","12","5200","HOU@TEN","HOU","TEN","","","",""
"54607","RB","Terrance","West","2.7","6","5200","PIT@BAL","BAL","PIT","","","",""
"14757","RB","Matt","Asiata","2.3","14","5200","NYG@MIN","MIN","NYG","","","",""
"12553","D","Carolina","Panthers","11.8","13","5200","CAR@ATL","CAR","ATL","","","",""
"24682","RB","Andre","Ellington","7.6","8","5200","GB@ARI","ARI","GB","Q","Toe","",""
"7900","K","Stephen","Gostkowski","11.3","14","5200","NE@NYJ","NE","NYJ","","","",""
"26038","TE","Tyler","Kroft","1.3","14","5200","CIN@DEN","CIN","DEN","","","",""
"22163","WR","Rishard","Matthews","10.2","11","5200","IND@MIA","MIA","IND","P","Ribs","",""
"12531","D","Denver","Broncos","12.5","13","5200","CIN@DEN","DEN","CIN","","","",""
"7660","RB","Fred","Jackson","3.8","14","5100","STL@SEA","SEA","STL","","","",""
"28202","RB","Jeremy","Langford","9.1","14","5100","CHI@TB","CHI","TB","","","",""
"21957","WR","Kendall","Wright","8.4","9","5100","HOU@TEN","TEN","HOU","Q","Ribs","",""
"15212","QB","Terrelle","Pryor","0","2","5100","CLE@KC","CLE","KC","","","",""
"6497","RB","Ahmad","Bradshaw","6.3","6","5100","IND@MIA","IND","MIA","IR","Wrist","",""
