"","name","projection","position","salary","team"
"1","Cam Newton",26.16675936,"QB",9200,"CAR"
"2","Devonta Freeman",20.14515032,"RB",8700,"ATL"
"3","Martavis Bryant",17.94034621,"WR",7400,"PIT"
"4","Allen Hurns",15.88584475,"WR",6600,"JAX"
"5","Stephen Gostkowski",15.45260861,"K",5000,"NWE"
"6","DEN Defense",15.09559177,"DEF",5400,"DEN"
"7","Doug Baldwin",13.08708406,"WR",6800,"SEA"
"8","Austin Seferian-Jenkins",12.19037352,"TE",5500,"TAM"
"9","Danny Woodhead",10.75509989,"RB",5400,"SDG"
